,View 1,View 2
Sun (PINED FOR NOW),,
  Mass,19892090,19892090
  Init Velocity (Z),0,0
  Diameter,0.01400499,10.28571
  Pos. X,0,0
  Pos. Y,0,0
  Orbit Scale,1,1
Mercury,,
  Mass,3.301176,3.301176
  Init Velocity (Z),0.05,0.05
  Diameter,0.00004880739,1.142857
  Pos. X,0.5773714,0.5773714
  Pos. Y,0.04721495,0.04721495
  Orbit Scale,1,13.8098
Venus,,
  Mass,48.71736,48.71736
  Init Velocity (Z),0.036,0.036
  Diameter,0.0001210831,2.285714
  Pos. X,1.08229,1.08229
  Pos. Y,0.02030862,0.02030862
  Orbit Scale,1,10.55776
Earth,,
  Mass,59.72128,59.72128
  Init Velocity (Z),0.03,0.03
  Diameter,0.0001276055,2.571429
  Pos. X,1.495284,1.495284
  Pos. Y,-0.06071031,-0.06071031
  Orbit Scale,1,10.6915
Mars,,
  Mass,6.422288,6.422288
  Init Velocity (Z),0.0241,0.0241
  Diameter,0.00006794421,1.714286
  Pos. X,2.280155,2.280155
  Pos. Y,-0.0208936,-0.0208936
  Orbit Scale,1,9.021564
Jupiter,,
  Mass,18986.77,18986.77
  Init Velocity (Z),0.013,0.013
  Diameter,0.00143035,6.285714
  Pos. X,7.784937,7.784937
  Pos. Y,-0.1392845,-0.1392845
  Orbit Scale,1,3.669504
Saturn,,
  Mass,5682.025,5682.025
  Init Velocity (Z),0.00966,0.00966
  Diameter,0.00120579,5.714286
  Pos. X,14.27168,14.27168
  Pos. Y,0.04359051,0.04359051
  Orbit Scale,1,2.482427
Uranus,,
  Mass,868.3094,868.3094
  Init Velocity (Z),0.0068,0.0068
  Diameter,0.0005113622,3.428571
  Pos. X,28.70664,28.70664
  Pos. Y,-0.7642443,-0.7642443
  Orbit Scale,1,1.472507
Neptune,,
  Mass,1020.364,1020.364
  Init Velocity (Z),0.00545,0.00545
  Diameter,0.0004954566,2.857143
  Pos. X,44.99811,44.99811
  Pos. Y,-0.4123283,-0.4123283
  Orbit Scale,1,1.034921
Universe Controller,,
  DisplayedYMult,1,1
