,View 1,View 2
Sun (PINED FOR NOW),,
  Mass,1989208.848,1989208.848
  Init Velocity (Z),0,0
  Diameter,0.001400499063,0.9143995062
  Pos. X,0,0
  Pos. Y,0,0
  Orbit Scale,1,1
Mercury,,
  Mass,0.3301176362,0.3301176362
  Init Velocity (Z),0.0474,0.0474
  Diameter,0.000004880739234,0.1015999451
  Pos. X,0.05776171225,0.05776171225
  Pos. Y,0.004410719714,0.004410719714
  Orbit Scale,1,12.2769068
Venus,,
  Mass,4.871736026,4.871736026
  Init Velocity (Z),0.035,0.035
  Diameter,0.00001210831475,0.2031998903
  Pos. X,0.1082383582,0.1082383582
  Pos. Y,0.001448408566,0.001448408566
  Orbit Scale,1,9.385845404
Earth,,
  Mass,5.972128147,5.972128147
  Init Velocity (Z),0.0298,0.0298
  Diameter,0.00001276054718,0.2285998766
  Pos. X,0.1494935592,0.1494935592
  Pos. Y,-0.006875616191,-0.006875616191
  Orbit Scale,1,9.504738531
Moon,,
  Mass,0.07302602256,0.07302602256
  Init Velocity (Z),0.001,0.001
  Diameter,0.000003476238745,0.05079997257
  Pos. X,0.149878,0.149878
  Pos. Y,-0.006858,-0.006858
  Orbit Scale,1,10.49613305
Mars,,
  Mass,0.642228856,0.642228856
  Init Velocity (Z),0.0241,0.0241
  Diameter,0.000006794421168,0.1523999177
  Pos. X,0.2280009622,0.2280009622
  Pos. Y,-0.003316373292,-0.003316373292
  Orbit Scale,1,8.020166085
Jupiter,,
  Mass,1898.676587,1898.676587
  Init Velocity (Z),0.0131,0.0131
  Diameter,0.00014303497,0.5587996982
  Pos. X,0.7784074611,0.7784074611
  Pos. Y,-0.01811763431,-0.01811763431
  Orbit Scale,1,3.262187258
Saturn,,
  Mass,568.2024769,568.2024769
  Init Velocity (Z),0.0097,0.0097
  Diameter,0.0001205789679,0.5079997257
  Pos. X,1.427171126,1.427171126
  Pos. Y,-0.003321183184,-0.003321183184
  Orbit Scale,1,2.206876045
Uranus,,
  Mass,86.8309419,86.8309419
  Init Velocity (Z),0.0068,0.0068
  Diameter,0.00005113622221,0.3047998354
  Pos. X,2.870211535,2.870211535
  Pos. Y,-0.0918715309,-0.0918715309
  Orbit Scale,1,1.309058115
Neptune,,
  Mass,102.0363603,102.0363603
  Init Velocity (Z),0.0054,0.0054
  Diameter,0.00004954565542,0.2539998628
  Pos. X,4.499524044,4.499524044
  Pos. Y,-0.06544753681,-0.06544753681
  Orbit Scale,1,0.9482661546
Universe Controller,,
  DisplayedYMult,1,1
